,NeighbourValue,RelativesValue,TipState,tip
1296,-0.3028283243945765,0.26095235097444613,-0.3028283243945765,'Tundra Nenets [nene1249][yrk]-l-':1
1297,1.30283072652297,,1.5114171924446682,'Burushaski [buru1296][bsk]-l-':1;
1298,-1.8460023774285883,-1.840858576237956,-0.9921472140197828,'SirionÃ³ [siri1273][srq]-l-':1
1299,-0.8474502713274924,-1.95381026397674,0.02441797562927474,'Cocama-Cocamilla [coca1259][cod]-l-':1
1300,-1.0485311501722627,-1.8949007443891017,-0.5057677006594686,'Akuntsu [akun1241][aqz]-l-':1
1301,-1.5934135995602934,-1.509959705066351,-3.970237054564228,'TupinambÃ¡ [tupi1273][tpn]-l-':1
1302,-0.5487076198589466,-1.7491758706408964,-1.8172915643933196,'Paraguayan GuaranÃ­ [para1311][gug]-l-':1
1303,-1.6936767727884157,-1.747906970431558,-1.8287116662773648,'Mekens [saki1248][skf]-l-':1
1304,-1.3098869090709682,-1.9209227011152363,-0.27157009012425976,'KaritiÃ¢na [kari1311][ktn]-l-':1
1305,-1.231230053956551,-1.8348155310699648,-1.0465346205317017,'MundurukÃº [mund1330][myu]-l-':1
1306,-0.5326245586772033,-1.615813608394361,-3.0175519246121363,'Nhengatu [nhen1239][yrl]-l-':1
1307,-0.9815949158689881,-1.4917104288392207,-4.134480540608399,'MbyÃ¡ GuaranÃ­ [mbya1239][gun]-l-':1
1308,-0.888306284488502,,-1.672326081558155,'AikanÃ£ [aika1237][tba]-l-':1;
1309,1.00213406873238,2.5182221795971,-1.089063369006011,'Aekyom [aeky1238][awi]-l-':1
1310,1.0882874945103038,-1.089063369006011,2.5182221795971,'Kamula [kamu1260][xla]-l-':1
1311,-0.5135981790038948,,2.022664013667021,'Limilngan [nucl1327][lmc]-l-':1
1312,0.05215450002101845,-1.2760772142396326,-1.3337055561220577,'Moro [moro1285][mor]-l-':1
1313,-0.16276445292187333,-1.2734733656325201,-1.3389132533362826,'Otoro [otor1240][otr]-l-':1
1314,-0.10364320420911066,-1.3363094047291701,-1.2132411751429826,'Tira [tira1254][tic]-l-':1
1315,1.2172611310026686,,1.2172611310026686,'Nama {Namibia} [nama1264][naq]-l-':1
1316,-0.9795644369996322,-1.7151946154361304,-3.206644649117953,'Panare [enap1235][pbh]-l-':1
1317,-1.2717783839132717,-1.988223154468225,-1.0224163368611965,'Maquiritari [maqu1238][mch]-l-':1
1318,-0.8539709762241475,-1.7720658848266315,-2.751674493993942,'Yukpa [yukp1241][yup]-l-':1
1319,-0.4757952173876534,-1.903125874871212,-1.7031945736373004,'Waiwai [waiw1244][waw]-l-':1
1320,-1.3275221836447941,-1.8885765213531018,-1.8195894017821823,'HixkaryÃ¡na [hixk1239][hix]-l-':1
1321,-0.4992954858222567,-1.7112632119193916,-3.2380958772518653,'Pemon [pemo1248][aoc]-l-':1
1322,-0.2599100774954551,-1.9576592998939617,-1.2669271734553025,'Macushi [macu1259][mbc]-l-':1
1323,-1.2139256892230164,-1.9860319694799933,-1.0399458167670512,'Waimiri-Atroari [waim1253][atr]-l-':1
1324,0.2502311773530366,-2.0060610403583494,-0.8797132497402018,'Galibi Carib [gali1262][car]-l-':1
1325,-0.7107645187878752,-2.811615516458903,-2.8048733608258107,'Alabama [alab1237][akz]-l-':1
1326,-0.3540119261544596,-2.8249743693821245,-2.778155654979368,'Creek [cree1270][mus]-l-':1
1327,-1.4580604557852828,-2.7915145079025896,-2.8450753779384383,'Choctaw [choc1276][cho]-l-':1
1328,-1.302714755765292,,1.89604223217332,'Maco [maco1239][wpc]-l-':1
1329,-1.8712597961528854,,-0.3766234850422059,'CholÃ³n [chol1284][cht]-l-':1
1330,-1.8022807497359858,,-1.4965468473460761,'Garrwa [gara1269][wrk]-l-':1
1331,0.861542205195179,,-0.44615875449753456,'Mailu [mail1248][mgu]-l-':1
1332,-1.3611001732857164,0.7916639115360705,-0.08707675300243152,'Naasioi [naas1242][nas]-l-':1
1333,-1.558644317374253,1.0281253888997515,-0.7964611850934741,'Terei [tere1278][buo]-l-':1
1334,-1.298652940713679,-0.10341308866313426,2.598154247595183,'Koromira [koro1313][kqj]-l-':1
1335,-1.3457426052599273,0.5715387698330925,0.5732986721065029,'Siwai [siwa1245][siw]-l-':1
1336,-2.980694038732568,,-1.8450942207704664,'Nuu-chah-nulth [nuuc1236][nuk]-l-':1
1337,-0.9452022390876446,,-0.9452022390876446,'Northern Yukaghir [nort2745][ykg]-l-':1
1338,-1.6883744013450233,,2.639424634736076,'Touo [touo1238][tqu]-l-':1;
1339,0.5831598015348431,3.7092891218233843,2.664778482652855,'Ndom [ndom1245][nqm]-l-':1
1340,0.7508659685308102,3.0738607635426116,3.9356351992144,'Kimaama [kima1246][kig]-l-':1
1341,0.8048725014809637,3.300206840933628,3.482943044432368,'Riantana [rian1263][ran]-l-':1
1342,,-2.7763057749287774,-1.6238064790574056,'Loup A [loup1243][xlo]-l-':1
1343,-3.7479603250550197,-2.5621863982147652,-4.407358376339562,'Ottawa [otta1242][otw]-l-':1
1344,-2.011392318201758,-2.7464914796099813,-2.011392318201758,'Chippewa [chip1241][ciw]-l-':1
1345,-2.597612853001537,-2.70139759231769,-2.597612853001537,'Northwestern Ojibwa [nort2961][ojb]-l-':1
1346,-2.1140915264902307,-2.7756849644673602,-1.6318770150558284,'Gros Ventre [gros1243][ats]-l-':1
1347,-1.9357588449052057,-2.885594470307198,-0.20305343913794005,'Yurok [yuro1248][yur]-l-':1
1348,-2.1159794309630127,-2.7384463170898843,-2.1159794309630127,'Mi''kmaq [mikm1235][mic]-l-':1
1349,-4.436678928292033,-2.5599309711414984,-4.436678928292033,'Montagnais [mont1268][moe]-l-':1
1350,-1.8963289309627247,-2.7553425093975994,-1.8963289309627247,'Miami [miam1252][mia]-l-':1
1351,-2.7028279198100407,-2.642512237355891,-3.3631224675049256,'Plains Cree [plai1258][crk]-l-':1
1352,-3.1522787733538555,-2.658730983059819,-3.1522787733538555,'Arapaho [arap1274][arp]-l-':1
1353,-1.9467937637230197,-2.6681588643532375,-3.029716316539424,'Shawnee [shaw1249][sjw]-l-':1
1354,-2.7237147091519422,-2.69169744953689,-2.7237147091519422,'Severn Ojibwa [seve1240][ojs]-l-':1
1355,-4.522861515569566,-2.553301541350919,-4.522861515569566,'Woods Cree [wood1236][cwd]-l-':1
1356,-0.4030686997390965,,0.918104475619292,'Warao [wara1303][wba]-l-':1;
1357,-0.4811982264294032,,1.3969253848573768,'Trumai [trum1247][tpy]-l-':1;
1358,-0.02178939465025953,,1.328408927727628,'FulniÃ´ [fuln1247][fun]-l-':1;
1359,-0.5637006222904756,,-4.328958509685225,'NivaclÃ© [niva1238][cag]-l-':1
1360,0.8986808791496622,1.5611854383234096,1.339936307424288,'Alamblak [alam1246][amp]-l-':1
1361,1.0832651418171955,1.333162787710178,3.1641175123301424,'Mehek [mehe1243][nux]-l-':1
1362,1.13184484190302,1.3678387108773644,2.8867101269926496,'Yessan-Mayo [yess1239][yss]-l-':1
1363,1.0786580512484072,1.409081484885761,2.556767934925478,'Mende {Papua New Guinea} [mend1268][sim]-l-':1
1364,1.0305560689952242,1.7687933956764927,-0.32092735140037554,'Namia [nami1256][nnm]-l-':1
1365,1.1348265190692606,1.3279587787788985,3.2057495837803773,'Kwoma [kwom1262][kmo]-l-':1
1366,1.0416935215390442,1.587969715956946,1.1256620863559983,'Abau [abau1245][aau]-l-':1
